## Last Updated: 2023-01-25 05:00:27 CST
"No.","Name","ID","Age","State","Nation","Rating","Rating.new","(+/-)","Regular","tDate","tName"
"1","Niemann, Hans","15041466","19","CT","USA",2616,2781,"(+165)","2767 => 2781","2022-12-22202212224582","9TH CHESSABLE SUNWAY GROUP A (ESP)1: 9TH CHESSABLE SUNWAY GROUP A"
"2","Liang, Awonder","13999045","19","WI","USA",2570,2737,"(+167)","2735 => 2737","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"8","Yoo, Christopher Woojin","15244943","16","CA","USA",2419,2682,"(+263)","2675 => 2682","2023-01-16202301164172","14TH ANNUAL GOLDEN STATE OPEN (CA)1: MAJOR"
"4","Jacobson, Brandon","14160065","19","NJ","USA",2477,2633,"(+156)","2637 => 2633","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"16","Liang, Jason","16041488","15","NY","USA",2266,2620,"(+354)","2619 => 2620","2023-01-15202301153102","SUNDAY FINN ACTION OPEN #90 (NY)1: SUNDAY FINN ACTION OPEN #90"
"=4","Hong, Andrew","14941904","18","CA","USA",2477,2616,"(+139)","2618 => 2616","2022-08-07202208071492","122ND ANNUAL U. S. OPEN - 2022 (CA)1: US OPEN"
"7","Balakrishnan, Praveen","14056673","20","VA","USA",2421,2608,"(+187)","2618 => 2608","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"55","Wang, Justin","14930904","17","TX","USA",2160,2578,"(+418)","2566 => 2578","2022-12-23202212234562","2022 SPICE CUP (MO)1: OPEN"
"28","Brodsky, David","14380771","20","NY","USA",2212,2575,"(+363)","2567 => 2575","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"42","Ghazarian, Kirk","14885268","16","CA","USA",2190,2541,"(+351)","2546 => 2541","2022-12-23202212234562","2022 SPICE CUP (MO)1: OPEN"
"61","Guo, Arthur","14772092","16","GA","USA",2135,2534,"(+399)","2534 => 2534","2023-01-13202301131862","GCC FRIDAY THE 13TH FACE-OFF (GA)1: PREMIER"
"78","Mardov, Dimitar","15205818","14","IL","USA",2091,2523,"(+432)","2510 => 2523","2023-01-22202301227722","ROBERT BYRNE MEMORIAL (IL)1: GM NORM"
"18","Woodward, Andy Austin","16302012","12","TX","USA",2263,2507,"(+244)","2492 => 2507","2022-12-22202212224582","9TH CHESSABLE SUNWAY GROUP A (ESP)1: 9TH CHESSABLE SUNWAY GROUP A"
"17","Wang, Jason","15162675","16","OH","USA",2265,2502,"(+237)","2464 => 2502","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)1: OPEN"
"6","Shlyakhtenko, Robert","14951916","17","CA","USA",2433,2501,"(+68)","2494 => 2501","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)1: GM A"
"3","He, Anthony Bi","14729222","17","WA","USA",2517,2498,"(-19)","2498 => 2498","2022-09-30202209308322","PNWCC_FRIDAY_USCF_G_25_D5_OTB_IN_MI (WA)1: 3___PNWCC_G25_D5___OPEN"
"11","Chasin, Nico Werner","14955471","16","NY","USA",2317,2489,"(+172)","2503 => 2489","2023-01-22202301227262","MAGNUS LEAGUE SEASON 8, 4TH MATCH! (NY)1: VARSITY SECTION!"
"20","Zeltsan, Joseph","14684893","20","NY","USA",2249,2481,"(+232)","2480 => 2481","2022-09-05202209055542","BOBBY FISCHER WC 1972 COMMEMORATION (NY)1: GM A"
"27","Tian, Eddy","15249281","16","NJ","USA",2218,2477,"(+259)","2469 => 2477","2022-12-11202212118182","2022 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)3: 10TH GRADE CHAMPIONSHIP"
"=29","Lu, Maximillian","14732597","17","CT","USA",2211,2476,"(+265)","2476 => 2476","2023-01-07202301079922","2023 CONNECTICUT SCHOLASTIC CHAMPIONSHIPS (CT)1: HIGH SCHOOL (9-12)"
"70","Li, Ben","14679851","20","MI","USA",2126,2469,"(+343)","2475 => 2469","2022-09-05202209056512","2022 MICHIGAN OPEN (MI)3: OPEN"
"23","Vidyarthi, Vyom","15107740","15","CA","USA",2245,2468,"(+223)","2458 => 2468","2022-12-30202212304622","BASEL CHRISTMAS OPEN MASTER (SUI)1: BASEL CHRISTMAS OPEN MASTER"
