## Last Updated: 2023-01-25 04:59:44 CST
"No.","Name","ID","Age","State","Nation","Rating","Rating.new","(+/-)","Regular","tDate","tName"
"2","Dlugy, Maxim","11435629","56","PA","USA",2679,2617,"(-62)","2607 => 2617","2022-07-16202207169692","2022 U.S. SENIOR CHAMPIONSHIP (MO)1: ROUND ROBIN"
"3","Stripunsky, Alexander","12715435","52","NJ","USA",2638,2582,"(-56)","2599 => 2582","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"1","Benjamin, Joel","10102511","58","NJ","USA",2719,2566,"(-153)","2561 => 2566","2022-07-16202207169692","2022 U.S. SENIOR CHAMPIONSHIP (MO)1: ROUND ROBIN"
"17","Root, Douglas D","10452881","59","TX","USA",2379,2563,"(+184)","2557 => 2563","2022-08-02202208029062","5TH ANNUAL IRWIN NATL TMT OF SENIOR STATE CHAMPS (CA)1: IRWIN"
"6","Duque, Raymond D.","12470979","63","TX","USA",2560,2559,"(-1)","2559 => 2559","2019-03-31201903310812","MARCH MADNESS MASSACRE GAMES (TX)3: MMMG-A"
"12","Matera, Salvatore J","10079578","71","NY","USA",2478,2502,"(+24)","2498 => 2502","1993-01-24199301245930","HUDSON VALLEY OPEN (NY)1: OPEN"
"13","Lakdawala, Cyrus F","11486738","62","CA","USA",2473,2492,"(+19)","2494 => 2492","2019-06-08201906085142","GAMBITO #887 (CA)1: OPEN"
"7","Gurevich, Dmitry","12212800","66","IL","USA",2521,2490,"(-31)","2485 => 2490","2022-12-11202212118352","CHICAGO CHESS CENTER 5TH JANE ADDAM (IL)1: HULL HOUSE OPEN"
"9","Ivanov, Alexander","12513936","66","MA","USA",2519,2486,"(-33)","2475 => 2486","2023-01-08202301080112","11TH ANNUAL BOSTON CHESS CONGRESS! (MA)1: PREMIER SECTION!"
"15","Khmelnitsky, Igor","12556361","54","PA","USA",2425,2481,"(+56)","2482 => 2481","2022-07-16202207169692","2022 U.S. SENIOR CHAMPIONSHIP (MO)1: ROUND ROBIN"
"4","Khachiyan, Melikset","12827326","52","CA","USA",2609,2476,"(-133)","2471 => 2476","2023-01-16202301164782","DREAMING KING OPEN (CA)2: OPEN"
"5","Finegold, Benjamin P","11264417","53","GA","USA",2589,2475,"(-114)","2477 => 2475","2022-07-04202207045092","50TH ANNUAL WORLD OPEN (PA)1: OPEN"
"10","Fishbein, Alexander","12077910","54","TN","USA",2507,2468,"(-39)","2477 => 2468","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"=44","Corden, Martyn John","12514746","71","FL","FOR",2163,2452,"(+289)","2476 => 2452","2000-03-19200003194720","PORTLAND SPRING OPEN (OR)1: OPEN"
"18","Zapata, Alonso","11426051","64","GA","FOR",2378,2449,"(+71)","2444 => 2449","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"11","Lapshun, Yury","12548533","50","NY","USA",2503,2445,"(-58)","2448 => 2445","2022-12-28202212285792","KQC12-28-22 (NY)1: KQC5-28-22"
"=7","Sevillano, Enrico","12650696","54","CA","USA",2521,2418,"(-103)","2442 => 2418","2023-01-22202301227832","BAY AREA SCHEVENINGEN CHALLENGERS (CA)1: MASTERS 1"
