## Last Updated: 2023-01-25 04:59:00 CST
"No.","Name","ID","Age","State","Nation","Rating","Rating.new","(+/-)","Regular","tDate","tName"
"1","Christiansen, Larry M","10460921","66","MA","USA",2651,2651,"","2649 => 2651","2022-07-16202207169692","2022 U.S. SENIOR CHAMPIONSHIP (MO)1: ROUND ROBIN"
"2","Gulko, Boris","12473035","75","NJ","USA",2604,2604,"","2597 => 2604","2020-02-15202002156232","Israeli National Team Champ (ISR)1: Israeli National Team Champ"
"3","De Firmian, Nick E","10469007","65","CA","USA",2527,2512,"(-15)","2527 => 2512","2023-01-22202301227832","BAY AREA SCHEVENINGEN CHALLENGERS (CA)1: MASTERS 1"
"4","Gurevich, Dmitry","12212800","66","IL","USA",2490,2490,"","2485 => 2490","2022-12-11202212118352","CHICAGO CHESS CENTER 5TH JANE ADDAM (IL)1: HULL HOUSE OPEN"
"5","Ivanov, Alexander","12513936","66","MA","USA",2475,2486,"(+11)","2475 => 2486","2023-01-08202301080112","11TH ANNUAL BOSTON CHESS CONGRESS! (MA)1: PREMIER SECTION!"
"6","Foygel, Igor","12563122","75","MA","USA",2463,2463,"","2462 => 2463","2020-02-18202002181652","MCC GROUNDHOG DAY SWISS (MA)1: OPEN"
"8","Tarjan, James Edward","10991820","70","OR","USA",2452,2457,"(+5)","2456 => 2457","2023-01-16202301164172","14TH ANNUAL GOLDEN STATE OPEN (CA)1: MAJOR"
"7","Palatnik, Semion","12542096","72","ON","USA",2456,2456,"","2472 => 2456","2019-05-05201905059332","65TH ANNUAL MARYLAND OPEN (MD)1: CHAMP"
"9","Bradford, Joseph Mark","10378583","72","TX","USA",2444,2444,"","2452 => 2444","2019-06-16201906168902","2019 NATIONAL OPEN CHESS CHAMPIONSHIP (NV)1: OPEN"
"10","Peters, Jack","10011876","71","CA","USA",2382,2382,"","2364 => 2382","2020-02-23202002235402","LACC- FEB GM/IM NORM FIDE (CA)1: GM-IM NORM"
"11","Meyer, Eugene B","10122953","70","VA","USA",2374,2374,"","2389 => 2374","2020-02-17202002171842","WORLD AMATEUR TEAM 2020 (NJ)1: WORLD TEAM 2020"
"12","Milovanovic, Rade","12513964","68","TX","USA",2371,2371,"","2416 => 2371","2022-04-18202204188952","DCC APRIL NORM INVITATIONAL (TX)1: SCHILLERF.S9C"
"13","Blocker, Calvin","10262160","67","OH","USA",2354,2354,"","2369 => 2354","2021-09-05202109057732","2021 OHIO CHESS CONGRESS- OPEN (OH)1: OPEN"
"14","Bonin, Jay Richard","10098327","67","NY","USA",2333,2333,"","2337 => 2333","2022-02-14202202140492","NASSAU NOT GRAND PRIX (NY)1: OPEN"
"15","Kaufman, Lawrence Charles","10179416","75","MD","USA",2326,2326,"","2323 => 2326","2022-11-18202211180672","DCCL 2022-23 ROUND 1 (VA)1: OPEN"
"16","Chase, Christopher W","10010985","66","MA","USA",2317,2317,"","2317 => 2317","2022-12-04202212044762","HARRY NELSON PILLSBURY MEMORIAL (MA)1: OPEN"
"17","Shibut, Macon A","10195624","65","VA","USA",2305,2296,"(-9)","2305 => 2296","2023-01-08202301080972","2023 NORTHERN VIRGINIA OPEN (VA)1: CHAMPIONSHIP (6-8 JAN)"
"18","Mcclintock, Doug R","10361338","69","FL","USA",2288,2288,"","2314 => 2288","2022-02-27202202276482","2022 VILLAGE OPEN (FL)1: SECTION A 2000 AND OVER-2D"
"19","Kelleher, William J","10012571","73","MA","USA",2286,2286,"","2296 => 2286","2019-03-15201903152852","WALTHAM GELLER G/25 D5 4-R (MA)1: OPEN"
"20","Shapiro, Daniel E","10094879","67","NY","USA",2280,2280,"","2302 => 2280","2021-08-08202108087902","121ST U.S. OPEN CHAMPIONSHIP (NJ)1: US OPEN"
"21","Watson, John L","10373638","71","CA","USA",2277,2277,"","2286 => 2277","2020-02-17202002171182","SAN DIEGO OPEN (CA)1: OPEN"
"22","Cline, John D","10171130","66","WA","USA",2276,2276,"","2303 => 2276","2020-01-20202001205812","11TH ANNUAL GOLDEN STATE OPEN (CA)1: MAJOR"
"23","Forthoffer, David","10475376","75","UT","USA",2265,2265,"","2260 => 2265","2022-10-08202210081492","ALL AGES GAME IN 25 (AZ)1: OPEN"
"24","Fields, Paul H","10270430","66","FL","USA",2264,2264,"","2269 => 2264","2019-10-12201910123622","BCF CHESS DAY OPEN (MA)1: OPEN"
"25","Lunna, Todd W","10047943","72","NJ","USA",2255,2255,"","2265 => 2255","2019-08-06201908061672","2ND ANNUAL NATL TMT OF SENIOR STATE CHAMPS (FL)1: SENIOR"
"26","Hoffmann, Asa","10076994","79","NY","USA",2246,2246,"","2242 => 2246","2021-11-16202111166282","MARSHALLMASTERS (NY)1: MARSHALLMASTERS"
"27","Newbold, Robert C","10481121","68","CT","USA",2237,2237,"","2216 => 2237","2019-07-28201907287542","24TH BRADLEY OPEN (CT)1: MAJOR"
"33","Wall, Brian D","10923344","67","CO","USA",2222,2237,"(+15)","2218 => 2237","2022-12-29202212296332","DCC DECEMBER THURSDAYS 2022 (CO)1: PREMIER (1700+ OR UNRATED)"
"28","Roberts, Troy Alan","10181798","66","MD","USA",2236,2236,"","2240 => 2236","2020-03-14202003146782","CHARM CITY CC (MD)2: CC MATCH2"
"=28","Bauer, Richard N","10583896","67","CT","USA",2236,2236,"","2246 => 2236","2022-12-03202212033822","2022 CONNECTICUT STATE CHAMPIONSHIP (CT)1: CHAMPIONSHIP"
"30","Saidy, Anthony F","10439949","85","CA","USA",2233,2233,"","2202 => 2233","2019-06-16201906168902","2019 NATIONAL OPEN CHESS CHAMPIONSHIP (NV)1: OPEN"
