## Last Updated: 2023-01-25 04:57:23 CST
"No.","Name","ID","State","Nation","Rating","Rating.new","(+/-)"
"1","Buss, Michael D","12437668","IN","USA",2432,2444,"(+12)"
"3","Tseng, Wilbur","12692226","IL","USA",2417,2417,""
"2","Adams, Gary","12515217","AZ","USA",2418,2415,"(-3)"
"4","Rhine, Frederick S","10347483","IL","USA",2411,2411,""
"5","Millett, John","12515805","CA","USA",2397,2398,"(+1)"
"9","Corkum, Tim","12179010","WI","USA",2379,2386,"(+7)"
"6","Ingersol, Harry Walter","10347394","CA","USA",2388,2385,"(-3)"
"7","Lewis, Chris","12332160","VA","USA",2383,2383,""
"8","Horwitz, Danny","10607078","TX","USA",2380,2380,""
"13","Magat, Gordon B","10088828","NY","USA",2362,2371,"(+9)"
"10","Procopi, John","10157391","PA","USA",2369,2369,""
"11","Rodriguez, Keith","10118735","FL","USA",2366,2366,""
"12","Rizzo, Robert","10112435","NY","USA",2365,2365,""
"15","Walton, John","13202540","WA","USA",2349,2359,"(+10)"
"16","Burmeister, Ferdinand","12478901","CA","USA",2342,2356,"(+14)"
"17","Sogin, David Warren","12546407","KY","USA",2336,2356,"(+20)"
"14","Miettinen, Kristo","12486315","NY","USA",2350,2350,""
"18","Harris, Timothy","13443503","SC","USA",2332,2333,"(+1)"
"19","Johnson, Rick","11457185","CA","USA",2311,2311,""
"20","Tracz, James G","12398324","MI","USA",2305,2305,""
"21","Ellis, James R","11301037","GA","USA",2303,2297,"(-6)"
"23","Torres, Chris","12767336","CA","USA",2291,2291,""
"22","Cross, Gregory Wayne","12280220","TX","USA",2292,2282,"(-10)"
"=25","Ratner, Boris","12550152","FL","USA",2282,2282,""
"=28","Jacobs, Charles A","12746276","AK","USA",2271,2277,"(+6)"
"33","Levine, Joel","10099200","NY","USA",2265,2277,"(+12)"
"24","Barber, Richard A","10416787","CO","USA",2283,2275,"(-8)"
"28","Cousins, Robert P","12653439","NH","USA",2271,2273,"(+2)"
"30","Drevinsky, David Matthew","10120799","MA","USA",2269,2273,"(+4)"
"=30","Stephenson, Mark A","12428362","TX","USA",2269,2269,""
"32","Porter, David W","12514878","MD","USA",2266,2266,""
"34","Rogers, Bradley K","12317970","MI","USA",2263,2263,""
"35","Weiner, Gerald H","10061237","CT","USA",2262,2262,""
"36","Barclay, Dean Arne","12416899","MD","USA",2261,2261,""
"37","Lamech, Lev I","12323880","NY","USA",2250,2252,"(+2)"
"38","Calogridis, Michael S.","10394546","TX","USA",2248,2248,""
"25","Ryan, Patrick J","10050880","NJ","USA",2282,2227,"(-55)"
"39","Boles, Robert L","10483522","CA","USA",2222,2227,"(+5)"
"40","Merrell, William S","10367174","MO","USA",2221,2221,""
"41","Mclaughlin, Richard Francis","12443601","NY","USA",2216,2216,""
"43","Musumeci, Jim","12455674","CA","USA",2213,2213,""
"44","Perry, Richard M","10373689","TX","USA",2212,2212,""
"45","Owens, Johnny","10248795","KY","USA",2201,2201,""
"42","Pinto, Jerald E","12623722","VA","USA",2214,2200,"(-14)"
"46","Chromczak, Thomas","10128676","NY","USA",2196,2196,""
"=46","Reeves, Christopher R","11051669","IL","USA",2196,2196,""
"48","Wilson, Abe L","12483963","HI","USA",2194,2194,""
"49","Kennedy, Walker W","11411983","PA","USA",2193,2193,""
"27","Walker, Barry Wood","12483835","MO","USA",2279,2191,"(-88)"
"50","Ott, Paul B","10104823","FL","USA",2186,2179,"(-7)"
"51","Sylvander, Dana N","10054028","NJ","USA",2176,2176,""
"52","Aiken, Richard","10409004","DC","USA",2169,2169,""
"=52","Mclaughlin, James F","11243053","MO","USA",2169,2169,""
"54","Mccann, David R","10307139","TX","USA",2156,2156,""
"55","Dunne, Alex","10155576","PA","USA",2150,2150,""
