## Last Updated: 2023-01-25 04:58:14 CST
"No.","Name","ID","State","Nation","Rating","Rating.new","(+/-)"
" 1","Perry, Jayne J","11068987","CO","USA",1882,1882,""
" 2","Dechaine, Linda","14114050","FL","USA",1703,1702,"(-1)"
" 3","Dawar, Ria","15518192","CA","USA",1702,1702,""
" 4","Dawar, Reema","15744737","CA","USA",1659,1659,""
" 5","Yu, Avery","15921044","CA","USA",1570,1570,""
" 6","Saravanan, Sahithya","15476814","CA","USA",1303,1303,""
" 7","Casillas, Sheri","30740100","CA","USA",1259,1259,""
" 8","Yang, Adelynne","15661335","CA","USA",1252,1252,""
" 9","Perkins, Adriana Noelani","13992743","CA","USA",1227,1227,""
"10","Nguyen, Diana Thu","30740082","CA","USA",1192,1192,""
"11","Saravanan, Mahitha","16061586","CA","USA",1164,1164,""
"12","Frees, Casey Leona","30693418","CA","USA",1089,1089,""
"13","Uyeda, Meghan Toraye","16372072","CA","USA",1078,1078,""
"14","Cabrales-Goldstein, Dada","16733593","CA","USA",1033,1033,""
"15","Silva, Samantha Marie","16819466","CA","USA",1003,1003,""
"17","Cabrales-Goldstein, Michaela","16768447","CA","USA",966,966,""
"18","Gutierrez Morales, Samantha Berlin","16812395","CA","USA",957,957,""
"16","Perkins, Leticia Z","13992737","CA","USA",971,945,"(-26)"
"19","Shenker, Sabrina Tess","14114510","CA","USA",884,884,""
"20","Gil De Montes, Mia","30060014","CA","USA",722,722,""
